"tw1" "tw2" "word1" "word2" "n" "Rank" "Topic" "rate" "nn" "tn" "wc11" "wc12" "wc21" "wc22"
"温帯_3" "低気圧_3" "温帯" "低気圧" 281 1 3 1 281 276 1 1 1 1
"温帯_NA" "低気圧_NA" "温帯" "低気圧" 281 1 NA 1 281 5 1 1 0 1
"気象_3" "情報_3" "気象" "情報" 279 2 3 0.975524475524476 279 276 1 1 1 1
"台風_3" "温帯_3" "台風" "温帯" 277 3 3 0.765193370165746 277 276 1 1 1 1
"台風_NA" "温帯_NA" "台風" "温帯" 277 3 NA 0.765193370165746 277 1 1 0 1 1
"6日_3" "水害_3" "6日" "水害" 276 4 3 0.499095840867993 276 276 1 1 1 1
"6日_3" "東日本_3" "6日" "東日本" 276 4 3 0.499095840867993 276 276 1 1 1 1
"お願い_3" "最新_3" "お願い" "最新" 276 4 3 0.996389891696751 276 276 1 1 1 1
"安全_3" "お過ごし_3" "安全" "お過ごし" 276 4 3 1 276 276 1 1 0 1
"改名_3" "空気_3" "改名" "空気" 276 4 3 1 276 276 1 1 1 1
"確認_3" "安全_3" "確認" "安全" 276 4 3 0.932432432432432 276 276 1 1 1 1
"関東_3" "甲信_3" "関東" "甲信" 276 4 3 0.992805755395683 276 276 1 1 1 1
"気を_3" "台風_3" "気を" "台風" 276 4 3 0.996389891696751 276 276 1 0 1 1
"近畿_3" "6日_3" "近畿" "6日" 276 4 3 1 276 276 1 1 1 1
"空気_3" "流入_3" "空気" "流入" 276 4 3 0.996389891696751 276 276 1 1 1 1
"警戒_3" "お願い_3" "警戒" "お願い" 276 4 3 0.876190476190476 276 276 1 1 1 1
"甲信_3" "東海_3" "甲信" "東海" 276 4 3 1 276 276 1 1 1 1
"最新_3" "気象_3" "最新" "気象" 276 4 3 1 276 276 1 1 1 1
"情報_3" "確認_3" "情報" "確認" 276 4 3 0.901960784313726 276 276 1 1 1 1
"水害_3" "警戒_3" "水害" "警戒" 276 4 3 1 276 276 1 1 1 1
"太平洋側_3" "関東_3" "太平洋側" "関東" 276 4 3 1 276 276 1 1 1 1
"低気圧_3" "6日_3" "低気圧" "6日" 276 4 3 0.495511669658887 276 276 1 1 1 1
"低気圧_3" "改名_3" "低気圧" "改名" 276 4 3 0.495511669658887 276 276 1 1 1 1
"東海_3" "近畿_3" "東海" "近畿" 276 4 3 0.965034965034965 276 276 1 1 1 1
"東日本_3" "太平洋側_3" "東日本" "太平洋側" 276 4 3 1 276 276 1 1 1 1
"流入_3" "低気圧_3" "流入" "低気圧" 276 4 3 1 276 276 1 1 1 1
"カー_5" "行程_5" "カー" "行程" 20 25 5 1 20 20 1 1 1 1
"ご自身_5" "地域_5" "ご自身" "地域" 20 25 5 1 20 20 1 1 1 1
"ハザード_5" "マップ_5" "ハザード" "マップ" 20 25 5 1 20 20 1 1 1 1
"マップ_5" "確認_5" "マップ" "確認" 20 25 5 1 20 20 1 1 1 1
"遠い_5" "地域_5" "遠い" "地域" 20 25 5 1 20 20 1 1 1 1
"皆様_5" "ご自身_5" "皆様" "ご自身" 20 25 5 1 20 20 1 1 1 1
"確認_5" "台風_5" "確認" "台風" 20 25 5 0.0675675675675676 20 20 1 1 1 1
"行程_5" "台風_5" "行程" "台風" 20 25 5 1 20 20 1 1 1 1
"上陸_5" "台風_5" "上陸" "台風" 20 25 5 1 20 20 1 1 1 1
"情報_5" "警戒_5" "情報" "警戒" 20 25 5 0.065359477124183 20 20 1 1 0 1
"選挙_5" "カー_5" "選挙" "カー" 20 25 5 1 20 20 1 1 1 1
"台風_5" "遠い_5" "台風" "遠い" 20 25 5 0.0552486187845304 20 20 1 1 1 1
"台風_5" "情報_5" "台風" "情報" 20 25 5 0.0552486187845304 20 20 1 1 1 1
"台風_5" "長崎_5" "台風" "長崎" 20 25 5 0.0552486187845304 20 20 1 1 1 1
"地域_5" "ハザード_5" "地域" "ハザード" 20 25 5 0.444444444444444 20 20 1 1 1 1
"地域_5" "被害_5" "地域" "被害" 20 25 5 0.444444444444444 20 20 1 1 1 1
"長崎_5" "上陸_5" "長崎" "上陸" 20 25 5 1 20 20 1 1 1 1
"発生_5" "皆様_5" "発生" "皆様" 20 25 5 0.952380952380952 20 20 1 1 1 1
"被害_5" "発生_5" "被害" "発生" 20 25 5 0.909090909090909 20 20 1 1 1 1
"本日_5" "選挙_5" "本日" "選挙" 20 25 5 0.909090909090909 20 20 1 0 1 1
"洪水_5" "警報_5" "洪水" "警報" 10 45 5 0.5 10 20 1 1 1 1
"大津市_5" "南部_5" "大津市" "南部" 10 45 5 0.714285714285714 10 11 1 1 1 1
"草津市_5" "洪水_5" "草津市" "洪水" 10 45 5 0.714285714285714 10 10 1 1 1 1
"警報_5" "発表_5" "警報" "発表" 10 45 5 0.285714285714286 10 9 1 1 0 1
"18:07_5" "現在_5" "18:07" "現在" 9 50 5 1 9 9 1 1 1 1
"2022/7/5_5" "18:07_5" "2022/7/5" "18:07" 9 50 5 1 9 9 1 0 1 1
"警報_5" "草津市_5" "警報" "草津市" 9 50 5 0.257142857142857 9 9 1 1 1 1
"現在_5" "大津市_5" "現在" "大津市" 9 50 5 0.9 9 9 1 1 1 1
"南部_5" "洪水_5" "南部" "洪水" 9 50 5 0.692307692307692 9 9 1 1 1 1
