"word" "freq" "Cluster" "n"
"台風_2" 960 "2" 960
"関東_2" 955 "2" 955
"南_2" 482 "2" 482
"九州_2" 482 "2" 482
"警戒_2" 482 "2" 482
"雨_2" 481 "2" 481
"アイレー_2" 478 "2" 478
"五島市_2" 478 "2" 478
"約150_2" 478 "2" 478
"km_2" 478 "2" 478
"北東_2" 478 "2" 478
"一部_2" 478 "2" 478
"強風域_2" 478 "2" 478
"明日_2" 478 "2" 478
"情報_2" 478 "2" 478
"以降_2" 478 "2" 478
"西日本_2" 478 "2" 478
"広範囲_2" 478 "2" 478
"おそれ_2" 478 "2" 478
"必要_2" 477 "2" 478
"4号_2" 478 "2" 478
"6日_2" 477 "2" 477
"水_2" 477 "2" 477
"ピーク_2" 477 "2" 477
"台風_NA" 22 NA 22
"車_4" 14 "4" 14
"近畿_2" 12 "2" 12
"4号_NA" 10 NA 10
"警戒_NA" 9 NA 9
"上陸_NA" 9 NA 9
"九州_NA" 7 NA 7
"冠水_4" 7 "4" 7
"ご用心_4" 7 "4" 7
"浸水_4" 7 "4" 7
"巨大_4" 7 "4" 7
"カバー_4" 7 "4" 7
"登場_4" 7 "4" 7
"福岡県_4" 7 "4" 7
"全国_4" 7 "4" 7
"台風_4" 7 "4" 7
"唯一_4" 7 "4" 7
"5年_4" 7 "4" 7
"連続_4" 7 "4" 7
"特別_4" 7 "4" 7
"警報_4" 7 "4" 7
"接近_4" 7 "4" 7
"毎年_4" 7 "4" 7
"水害_4" 7 "4" 7
"家屋_4" 7 "4" 7
"甚大_4" 7 "4" 7
"被害_4" 7 "4" 7
"newsdig_4" 7 "4" 7
"RKB毎日放送_4" 7 "4" 7
"非常_2" 4 "2" 4
"あす_2" 4 "2" 4
"空気_2" 4 "2" 4
"南部_2" 4 "2" 4
"中心_2" 4 "2" 4
"北部_2" 4 "2" 4
"中部_2" 4 "2" 4
"急_2" 4 "2" 4
"激しい_2" 4 "2" 4
"各地_2" 4 "2" 4
"天気_2" 4 "2" 4
"イラスト_2" 4 "2" 4
"注意_2" 4 "2" 4
"接近_NA" 3 NA 3
"激しい_NA" 2 NA 2
"雨_NA" 2 NA 2
"必要_NA" 1 NA 1
